Unnamed: 0,cassandra_Q1,cassandra_Q2,cassandra_Q3,mongoDb_Q1,mongoDb_Q2,mongoDb_Q3,mysql_Q1,mysql_Q2,mysql_Q3,neo4j_Q1,neo4j_Q2,neo4j_Q3,redis_Q1,redis_Q2,redis_Q3
R14,8.705331036062464,37.55946223025471,198.5667554014065,2.448843705751698,3.5869804988615157,4.1573821913437605,4.213445562533566,5.052089542208449,4.868790630351472,46.75209694358078,44.361819735107275,17.546031947203815,84.67723396739484,114.83587634648389,203.71858382052807
R15,8.717198004946201,38.65558801567144,197.79087116925857,2.1395469218321987,2.127903412525315,4.095396491805318,4.183699680152079,5.172492487641281,4.520502816873061,45.42622137964461,36.222870883892504,16.920425503303328,89.3903010644459,107.29459326544925,207.4609229604881
R16,9.159586066286158,39.17015370340177,196.13899140573628,2.105909727337352,3.620480072124577,4.0257052086510505,4.376393258539718,4.935178116967579,4.658151309052672,47.33950039785485,34.72102174675509,17.89781603197531,82.40359860396939,115.47233448565444,140.69035426364567
R17,9.394235141991345,43.52699510629822,201.31407963160447,2.563493037871241,3.5874186202381546,4.044265205627727,4.3858309758361465,5.009069261633573,5.0569857358649655,47.02411696706558,34.04247508282735,23.46545366617223,94.54782369970287,105.56908722559011,134.91833187453412
R18,9.168492380544548,39.34609430485587,196.72365832196732,2.306158394943757,3.0041693831560687,3.8187214694200255,4.314763460429378,5.347125767058935,4.701345742921898,45.88869509710923,30.169320385535205,20.68478121166856,85.34243118097159,120.41309738126947,142.5981946741416
R19,9.564159357382492,40.488878713622285,192.24386266727137,2.503477109513462,2.9948459977532647,4.211732676499672,4.174596742549851,4.7110506374232894,4.295689382448644,46.86063795053726,33.03275552743828,19.42048240928437,93.62793448444546,112.15076660374733,127.91992648757027
R20,8.57192385178579,38.16315188865609,194.49028997402078,2.329083317038034,3.082732451953496,4.062901978406421,4.257511727549117,5.019545227956902,4.79995021705091,47.85928924187476,33.641631515994824,18.873539564499165,89.67660798534715,105.18107448190159,126.41304399039048
R21,10.654942702204028,40.204161445663296,196.05073729263475,2.474418785535599,3.0287372842501297,4.007695066439587,4.049010074530498,5.436485860757817,4.4558400308974075,47.7554327808077,33.83225711575884,19.53205201128588,86.13261154462639,96.16055917411225,140.10836009612638
R22,10.78751066923623,42.29899476089117,194.63801029497537,2.408068959115286,3.4281798988712935,3.748673648623817,4.289442314116465,4.908174016035832,3.9125448535906555,48.35271425821567,31.742836692560708,17.377142952909868,100.8197828679293,106.06104292190028,135.01529023278323
R23,9.345221761007297,41.51145085697798,201.41541259214827,2.3432607166319666,3.534470984015225,4.044123404134001,4.117987045436246,4.817112140262528,4.56556585661591,47.17672148937238,33.82631008442989,19.85053639016641,91.49029856533672,110.63578589353972,140.55652927421758
